doc_id,type,extension,language,requires_ocr,cer,wer
A decade of marine seismic technology development,doc_Word,.docx,en,False,0.0032649541058337953,0.0
Seismic_Imaging_and_Interpretation_Techniques,doc_Word,.docx,en,False,0.02580312217778351,0.028338136407300672
Integration of Deterministic Seismic inversion with Machine Learning,doc_Word,.docx,en,False,0.1149370125974805,0.1132713440405748
Convolution_Polarity,images,.jpg,en,True,0.09649122807017543,0.15151515151515152
Example-of-a-near-seafloor-structure,images,.jpg,en,True,0.08178438661710037,0.16666666666666666
Northern-Gulf-of-Mexico-Basin-source-intervals-ages-hydrocarbon-families-and-summary,images,.jpg,en,True,0.03860711582134747,0.1111111111111111
2020_06_practical_4d_interpretation,pdf_scans,.pdf,en,True,0.2475169890224778,0.32451499118165783
Alaska_North_Slope_petroleum_systems,pdf_scans,.pdf,en,True,0.08531131750945993,0.20726495726495728
NPD Oligocene to Pliocene well and borehole data,pdf_scans,.pdf,en,True,0.09864864864864865,0.21774856203779785
Public Dataset for Machine Learning in Seismic Interpretation,pdf_text,.pdf,en,False,0.3288847019416968,0.35447377442577993
Interpretational applications of spectral decomposition in reservoir characterization,pdf_text,.pdf,en,False,0.23129137685410206,0.2980324074074074
Interpretation of incised valleys using new 3-D seismic techniques,pdf_text,.pdf,en,False,0.22034816771658877,0.30238726790450926
Characterization of Three Forks Formation Reservoir Lithofacies,pdf_text,.pdf,en,False,0.2819405783105153,0.2620137299771167
Assessment of Tight-Oil and Tight-Gas Resources,pdf_text,.pdf,en,False,0.5624033006704486,0.5382653061224489
Applying Seismic Inversion Technique and Seismic Attributes for Komombo Basin,pdf_text,.pdf,en,False,0.39387555488676546,0.36741682974559686
Oil well operation parameters (2013),tables,.xlsx,en,False,0.09864864864864865,0.21774856203779785
Reservoir rock allocated to each producing zone,tables,.xlsx,en,False,0.3288847019416968,0.35447377442577993
W1 Well Logs,tables,.xlsx,en,False,0.02580312217778351,0.028338136407300672
Geophysics,txt,.txt,en,False,0.07544797233574348,0.06431535269709543
Predicting rock properties,txt,.txt,en,False,0.20755925688661114,0.20697167755991286
Seismic attributes,txt,.txt,en,False,0.08854391260600834,0.0740402193784278
WA1,txt,.txt,en,False,0.02580312217778351,0.028338136407300672
